"Year" "Age" "Male"
"1" "1921" "20" 279.601884318888
"2" "1921" "21" 307.433225672878
"3" "1921" "22" 312.699384809285
"4" "1921" "23" 306.528950289544
"5" "1921" "24" 239.795037253946
"6" "1921" "25" 310.256035886705
"7" "1921" "26" 315.928720702697
"8" "1921" "27" 307.706007126253
"9" "1921" "28" 297.761936655035
"10" "1921" "29" 250.257770752162
"11" "1921" "30" 310.555453788489
"12" "1921" "31" 265.0992867589
"13" "1921" "32" 330.753394287033
"14" "1921" "33" 276.49056755458
"15" "1921" "34" 292.198247194849
"16" "1921" "35" 367.002526134253
"17" "1921" "36" 324.140103922784
"18" "1921" "37" 299.947756226175
"19" "1921" "38" 363.120207859017
"20" "1921" "39" 307.30242302306
"21" "1921" "40" 282.927437588573
"22" "1921" "41" 303.026202721521
"23" "1921" "42" 384.716881973669
"24" "1921" "43" 307.200805622991
"25" "1921" "44" 304.400443040812
"26" "1921" "45" 353.065163634717
"27" "1921" "46" 322.406224547885
"28" "1921" "47" 290.259532108018
"29" "1921" "48" 361.404193866439
"30" "1921" "49" 352.418321906589
"31" "1921" "50" 383.323862570291
"32" "1921" "51" 348.689467078028
"33" "1921" "52" 424.20709516569
"34" "1921" "53" 396.425001299474
"35" "1921" "54" 422.534513719613
"36" "1921" "55" 403.896363096172
"37" "1921" "56" 446.226123766042
"38" "1921" "57" 412.328715279233
"39" "1921" "58" 488.556312509533
"40" "1921" "59" 531.952938360721
"41" "1921" "60" 662.517783402465
"42" "1921" "61" 547.101264074957
"43" "1921" "62" 581.123944312334
"44" "1921" "63" 623.837092776131
"45" "1921" "64" 713.376696662372
"46" "1921" "65" 739.492407208309
"47" "1921" "66" 556.876109970594
"48" "1921" "67" 709.404497078667
"49" "1921" "68" 749.360463281255
"50" "1921" "69" 665.719123418629
"51" "1921" "70" 763.490646924824
"52" "1921" "71" 662.170057287952
"53" "1921" "72" 754.457550085615
"54" "1921" "73" 609.693938209396
"55" "1921" "74" 641.839520466328
"56" "1921" "75" 646.695765513182
"57" "1921" "76" 708.634849660099
"58" "1921" "77" 566.408307863679
"59" "1921" "78" 611.031004419085
"60" "1921" "79" 596.766728274524
"61" "1921" "80" 598.215193060041
"62" "1921" "81" 409.904062748048
"63" "1921" "82" 446.451426807325
"64" "1921" "83" 490.338524112711
"65" "1921" "84" 433.823166501708
"66" "1921" "85" 411.34250884247
"67" "1921" "86" 369.733963818243
"68" "1921" "87" 296.219786260184
"69" "1921" "88" 268.802844601311
"70" "1921" "89" 198.772535580676
"71" "1921" "90" 194.937712446833
"72" "1921" "91" 107.406040807255
"73" "1921" "92" 114.05799434334
"74" "1921" "93" 66.872356692329
"75" "1921" "94" 53.2356377718039
"76" "1921" "95" 50.537560576573
"77" "1921" "96" 33.6803993631154
"78" "1921" "97" 37.4739787951112
"79" "1921" "98" 21.9922242706642
"80" "1921" "99" 4.55325018032454
"81" "1922" "20" 295.648503244668
"82" "1922" "21" 302.372680372372
"83" "1922" "22" 287.469572768547
"84" "1922" "23" 284.627929223003
"85" "1922" "24" 235.448629724234
"86" "1922" "25" 260.806568754464
"87" "1922" "26" 268.547756257467
"88" "1922" "27" 296.047155708447
"89" "1922" "28" 301.075199483614
"90" "1922" "29" 315.364376879623
"91" "1922" "30" 277.646140616108
"92" "1922" "31" 292.941959227435
"93" "1922" "32" 292.296377111599
"94" "1922" "33" 287.010500089359
"95" "1922" "34" 271.36007522936
"96" "1922" "35" 301.312937405286
"97" "1922" "36" 327.639392402396
"98" "1922" "37" 300.087129789032
"99" "1922" "38" 361.885439154413
"100" "1922" "39" 295.116382170748
"101" "1922" "40" 350.553622122388
"102" "1922" "41" 337.138197050476
"103" "1922" "42" 388.58995391638
"104" "1922" "43" 278.733881483786
"105" "1922" "44" 331.182855623541
"106" "1922" "45" 410.641089082463
"107" "1922" "46" 306.907688710559
"108" "1922" "47" 352.902461840212
"109" "1922" "48" 377.300075184926
"110" "1922" "49" 385.973445033655
"111" "1922" "50" 445.860343421437
"112" "1922" "51" 287.111607174575
"113" "1922" "52" 443.29235626068
"114" "1922" "53" 399.228095398843
"115" "1922" "54" 434.975861882884
"116" "1922" "55" 426.765969713777
"117" "1922" "56" 401.36718493253
"118" "1922" "57" 400.816282029497
"119" "1922" "58" 461.28197168652
"120" "1922" "59" 446.827198138833
"121" "1922" "60" 595.280825647712
"122" "1922" "61" 560.187811570242
"123" "1922" "62" 607.602450220892
"124" "1922" "63" 724.922609261284
"125" "1922" "64" 638.495805445127
"126" "1922" "65" 690.305199661478
"127" "1922" "66" 711.458694458613
"128" "1922" "67" 642.69282281627
"129" "1922" "68" 839.083343966119
"130" "1922" "69" 622.499536369275
"131" "1922" "70" 713.656847821409
"132" "1922" "71" 596.158453889703
"133" "1922" "72" 759.352729012864
"134" "1922" "73" 817.891174779926
"135" "1922" "74" 711.911702589551
"136" "1922" "75" 660.283802641835
"137" "1922" "76" 707.332246877998
"138" "1922" "77" 642.143509470625
"139" "1922" "78" 604.270647272095
"140" "1922" "79" 600.790775234811
"141" "1922" "80" 599.624993646098
"142" "1922" "81" 529.092689120304
"143" "1922" "82" 556.380078504235
"144" "1922" "83" 499.937626301358
"145" "1922" "84" 416.224936403241
"146" "1922" "85" 493.618671578961
"147" "1922" "86" 355.374694844335
"148" "1922" "87" 292.7570714931
"149" "1922" "88" 243.158675658703
"150" "1922" "89" 197.968668837519
"151" "1922" "90" 153.001956473663
"152" "1922" "91" 115.320290529728
"153" "1922" "92" 106.081139046745
"154" "1922" "93" 63.3799797635525
"155" "1922" "94" 59.6726671122015
"156" "1922" "95" 49.7799165643752
"157" "1922" "96" 34.072302916646
"158" "1922" "97" 35.2545652839355
"159" "1922" "98" 19.7025304446928
"160" "1922" "99" 6.80452859299257
"161" "1923" "20" 305.274286009418
"162" "1923" "21" 294.807232534513
"163" "1923" "22" 291.151379608177
"164" "1923" "23" 280.453039313015
"165" "1923" "24" 316.327584405011
"166" "1923" "25" 299.739189209789
"167" "1923" "26" 255.07962306682
"168" "1923" "27" 326.229921460431
"169" "1923" "28" 272.080401414772
"170" "1923" "29" 258.203413327597
"171" "1923" "30" 321.470651475061
"172" "1923" "31" 244.798642623425
"173" "1923" "32" 268.869361620303
"174" "1923" "33" 263.73666132465
"175" "1923" "34" 246.551181483082
"176" "1923" "35" 363.674293389777
"177" "1923" "36" 281.569391267002
"178" "1923" "37" 297.232441295404
"179" "1923" "38" 340.619083584752
"180" "1923" "39" 273.676700316137
"181" "1923" "40" 353.604135152092
"182" "1923" "41" 280.707801883109
"183" "1923" "42" 332.041701685125
"184" "1923" "43" 367.958157414571
"185" "1923" "44" 295.273682022747
"186" "1923" "45" 430.693169724662
"187" "1923" "46" 315.60145468493
"188" "1923" "47" 331.423756883293
"189" "1923" "48" 402.618038300658
"190" "1923" "49" 357.760032464284
"191" "1923" "50" 461.449485435058
"192" "1923" "51" 364.8755907638
"193" "1923" "52" 518.534311462892
"194" "1923" "53" 504.247257211246
"195" "1923" "54" 397.207331042737
"196" "1923" "55" 483.721768433601
"197" "1923" "56" 509.62889135764
"198" "1923" "57" 452.288089674711
"199" "1923" "58" 535.954755779076
"200" "1923" "59" 490.33214379428
"201" "1923" "60" 575.044859159226
"202" "1923" "61" 508.666388788726
"203" "1923" "62" 694.675330536068
"204" "1923" "63" 764.641348269209
"205" "1923" "64" 700.9289187185
"206" "1923" "65" 732.125780400261
"207" "1923" "66" 697.752740270924
"208" "1923" "67" 643.207307416108
"209" "1923" "68" 737.802656817623
"210" "1923" "69" 792.882043534145
"211" "1923" "70" 726.99600175526
"212" "1923" "71" 687.632236256963
"213" "1923" "72" 751.949976943433
"214" "1923" "73" 818.571481055115
